test 10 epoch, 0.05 eta, 16 batch 
Donnees validation : 4 : tensor([0.9511], device='cuda:0')
Donnees validation : 5 : tensor([0.9567], device='cuda:0')
Donnees validation : 6 : tensor([0.9604], device='cuda:0')
Donnees validation : 7 : tensor([0.9635], device='cuda:0')
Donnees validation : 8 : tensor([0.9649], device='cuda:0')
Donnees validation : 9 : tensor([0.9674], device='cuda:0')
Hidden layers : [500, 500, 100] : tensor([0.9723], device='cuda:0')

Donnees validation : 0 : tensor([0.8794], device='cuda:0')
Donnees validation : 1 : tensor([0.9144], device='cuda:0')
Donnees validation : 2 : tensor([0.9310], device='cuda:0')
Donnees validation : 3 : tensor([0.9421], device='cuda:0')
Donnees validation : 4 : tensor([0.9489], device='cuda:0')
Donnees validation : 5 : tensor([0.9536], device='cuda:0')
Donnees validation : 6 : tensor([0.9568], device='cuda:0')
Donnees validation : 7 : tensor([0.9603], device='cuda:0')
Donnees validation : 8 : tensor([0.9637], device='cuda:0')
Donnees validation : 9 : tensor([0.9648], device='cuda:0')
Hidden layers : [500, 500, 300] : tensor([0.9701], device='cuda:0')

Donnees validation : 0 : tensor([0.8872], device='cuda:0')
Donnees validation : 1 : tensor([0.9173], device='cuda:0')
Donnees validation : 2 : tensor([0.9358], device='cuda:0')
Donnees validation : 3 : tensor([0.9454], device='cuda:0')
Donnees validation : 4 : tensor([0.9526], device='cuda:0')
Donnees validation : 5 : tensor([0.9560], device='cuda:0')
Donnees validation : 6 : tensor([0.9610], device='cuda:0')
Donnees validation : 7 : tensor([0.9624], device='cuda:0')
Donnees validation : 8 : tensor([0.9662], device='cuda:0')
Donnees validation : 9 : tensor([0.9681], device='cuda:0')
Hidden layers : [500, 500, 500] : tensor([0.9714], device='cuda:0')

